John Bel Edwards	Democrat	1	1	0	0	0	0
Bob Ryan	None	0	1	0	0	0	0
Ken Paxton	Republican	1	1	0	3	2	3
William Barr	Republican	0	0	0	1	3	1
Eric Turner	Business leader	0	0	0	0	0	1
Mark Meadows	Republican	0	0	1	1	1	0
Robert Astorino	Republican	1	0	0	0	0	0
Chris Sgro	Activist	0	1	0	0	1	0
Make Us Great Again	Republican	1	0	0	0	0	0
Wisconsin Senate Republicans	Republican	0	1	0	1	0	0
Alyssa Milano	None	0	0	0	1	0	0
Howard Marklein	Republican	0	0	0	1	1	0
National Republican Trust PAC	Republican	0	0	0	1	0	0
No on 67	Organization	0	0	1	0	0	0
Mike McCabe	Democrat	0	2	1	0	1	0
Federation for American Immigration Reform	Organization	0	0	1	1	0	0
Joseph Chiusolo	Republican	0	0	1	0	0	0
Carolyn Maloney	Democrat	2	0	0	0	0	0
Nan Rich	Democrat	0	3	1	1	0	0
Mike Ryan	Democrat	0	0	1	0	0	0
John Oxendine	Republican	1	0	2	0	0	0
Tony Capezza	None	0	0	0	1	0	0
Rebecca Quigley	None	0	0	0	0	1	0
Anonymous Activist	None	0	1	0	0	0	0
John Shimkus	Republican	0	0	0	1	0	0
Deb Butler	Democrat	0	0	0	1	1	0
Tom Price	Republican	3	5	6	2	3	0
Mike Johnson	Republican	0	0	0	0	0	0
Paul Krugman	None	8	4	3	0	3	0
Scott Maddox	Democrat	0	0	1	0	0	0
Tyler Lee	Republican	0	0	0	0	1	0
Abby Finkenauer	Democrat	0	0	1	0	0	0
Ed Garvey	Democrat	0	0	0	0	2	0
Drudge Report	None	0	0	0	0	0	2
Pete Hegseth	Republican	0	1	0	1	0	0
Lois Capps	Democrat	0	0	0	0	0	0
Grover Norquist	Republican	0	2	0	0	3	1
Carl Paladino	Republican	0	0	0	0	1	0
Frank Luntz	Republican	0	0	1	0	0	0
Think Big Illinois	None	0	0	0	1	0	0
John Carlevale	Republican	0	0	1	0	1	0
Martin O'Malley	Democrat	0	4	10	3	1	0
Woody Degan	Republican	0	0	0	0	0	1
Joseph Henchman	Newsmaker	0	0	0	0	1	0
UndergroundNewsReport.com	None	0	0	0	0	0	2
Katie McGinty	Democrat	1	1	0	1	0	1
Kamala Harris	Democrat	2	13	4	7	7	0
Jerome Adams	Newsmaker	0	0	1	0	1	0
Wesley Clark	Democrat	0	0	1	0	1	0
Rhode Island Tea Party	None	0	0	0	0	0	1
Kid Rock	Republican	0	0	1	0	0	0
Sacramento Bee Editorial Board	None	3	1	1	1	0	0
Ryan Lizza	None	1	0	0	0	0	0
Joe Brown	Democrat	0	0	0	0	0	1
The Trump Talks	None	0	0	0	0	1	0
John Yarmuth	Democrat	0	0	1	0	0	0
Brent Barton	Democrat	0	0	0	1	0	0
House Republicans	Republican	0	0	0	0	1	0
Dwight Holton	Democrat	0	0	1	0	0	0
Traditional Values Coalition	Organization	0	0	0	0	1	0
Laurence Tribe	None	0	0	0	1	0	0
Reid Ribble	Republican	0	0	1	0	1	1
Eric Nelson	None	0	0	0	0	0	0
Allen Frances	None	0	0	0	0	0	1
NFL Players Association	None	0	0	0	0	1	0
Pari Sabety	None	0	0	1	0	0	0
Jeff Turner	Democrat	0	0	0	0	0	0
Violence Policy Center	None	1	0	0	0	0	0
Michelle Litjens	Republican	1	0	0	0	0	0
Congressional Progressive Caucus PAC	Organization	0	0	0	0	1	0
J. Bart Classen	None	0	0	0	0	0	1
Curt Schilling	Republican	0	0	0	2	0	0
Terry Moulton	Republican	0	0	0	0	1	0
Melania Trump	Republican	0	0	0	0	0	0
Bee Moorhead	Democrat	1	1	0	0	0	0
Christopher Coyne	None	0	0	0	1	0	0
Environmental Justice League of R.I	None	0	0	1	0	0	0
